party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
MOVIMIENTO CIUDADANO,MIGUEL ANGEL MARTINEZ CUEVAS,10337,JUAN CARLOS CASTAÑEDA LANDIN,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10337
MOVIMIENTO CIUDADANO,CLAUDIA BELTRAN TAGLE,10339,CECILIA MAURI MOLINERO DURAND,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10339
MOVIMIENTO CIUDADANO,JONATAN RODRIGUEZ RODRIGUEZ,10217,RUBEN EMILIO BASILIO LICONA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10217
MOVIMIENTO CIUDADANO,MARIA LILIANA MEJIA SALAZAR,10219,ANTONIETA IVETTE MARTIGNON LOPEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10219
MOVIMIENTO CIUDADANO,ARTURO RODRIGUEZ GUTIERREZ,10221,ARTURO GONZALEZ ELIZALDE,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10221
MOVIMIENTO CIUDADANO,CATALINA MAXIMO PEREZ,10223,MELISSA DEYANIRA BENHUMEA FLORES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10223
MOVIMIENTO CIUDADANO,IVAN DE LA CRUZ TEACALCO,10455,VICTOR MANUEL LOPEZ GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10455
MOVIMIENTO CIUDADANO,ELIZABETH FIGUEROA HURTADO,10341,PAULINA ROBLES HERNANDEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10341
MOVIMIENTO CIUDADANO,DAVID RICARDO BENITEZ LOPEZ,10343,JESUS ROGELIO REYES GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10343
MOVIMIENTO CIUDADANO,XOCHITL ESTELA DE LA CONCHA GARCIA,10183,JESSICA MONTSERRAT VENCES VAZQUEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10183
MOVIMIENTO CIUDADANO,ALFONSO ARANA RAMIREZ,10187,RAUL OLAF HERNANDEZ MEDINA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10187
MOVIMIENTO CIUDADANO,MARIA ANGELICA GARCIA BARRERA,10711,ARACELI LOPEZ ESQUIVEL,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10711
MOVIMIENTO CIUDADANO,CESAR RUIZ ROQUE,10293,GUSTAVO CELIS VAZQUEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10293
MOVIMIENTO CIUDADANO,MARTHA PATRICIA BARRIOS ROJAS,10225,DEISY JIMENEZ VIVAS,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10225
MOVIMIENTO CIUDADANO,SALVADOR RAYMUNDO GONZALEZ GUTIERREZ,10227,CUAUHTEMOC RUIZ CRUZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10227
MOVIMIENTO CIUDADANO,JOSEFINA LOMAS MORENO,10345,ZELTZIN PAULINA BADILLO JUAREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10345
